data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38546,10860000000,10940000000,10780000000,10940000000,8328975586,25465000
38547,10980000000,11020000000,10940000000,10940000000,8328975586,28885000
38548,10960000000,11000000000,10780000000,10840000000,8252836914,26105000
38551,10860000000,11040000000,10820000000,10980000000,8359423828,21220000
38552,11000000000,11240000000,10980000000,11220000000,8542148438,33785000
38553,11240000000,11340000000,11100000000,11160000000,8496464844,30025000
38554,11300000000,11360000000,11160000000,11260000000,8572596680,26780000
38555,11180000000,11200000000,10920000000,11040000000,8405105469,27575000
38558,11040000000,11140000000,11040000000,11100000000,8450785156,18455000
38559,11120000000,11160000000,10940000000,11020000000,8389880859,20630000
38560,11040000000,11180000000,10960000000,11020000000,8389880859,18430000
38561,11040000000,11320000000,11040000000,11200000000,8526921875,23655000
38562,11320000000,11320000000,11200000000,11300000000,8603052734,17875000
38565,11320000000,11380000000,11220000000,11380000000,8663958008,16470000
38566,11400000000,11420000000,11240000000,11360000000,8648729492,14250000
38567,11500000000,11540000000,11360000000,11360000000,8648729492,23635000
38568,11360000000,11380000000,11200000000,11320000000,8618281250,18370000
38569,11220000000,11220000000,10960000000,11060000000,8420329102,30100000
38572,11040000000,11040000000,10860000000,11020000000,8389880859,18285000
38573,11020000000,11060000000,10900000000,11000000000,8374652344,20325000
38574,11100000000,11240000000,11060000000,11100000000,8450785156,16480000
38575,11100000000,11400000000,11100000000,11340000000,8633503906,19885000
38576,11380000000,11580000000,11380000000,11560000000,8800998047,24480000
38579,11560000000,11560000000,11560000000,11560000000,8800998047,0
38580,11560000000,11640000000,11380000000,11440000000,8709636719,26040000
38581,11320000000,11440000000,11200000000,11440000000,8709636719,20420000
38582,11440000000,11460000000,11060000000,11100000000,8450785156,33515000
38583,11100000000,11120000000,10980000000,11060000000,8420329102,20935000
38586,11060000000,11400000000,11060000000,11260000000,8572596680,19550000
38587,11280000000,11380000000,11200000000,11240000000,8557373047,18770000
38588,11240000000,11260000000,10980000000,11120000000,8466013672,23985000
38589,11060000000,11100000000,10880000000,11040000000,8405105469,24360000
38590,11040000000,11120000000,10980000000,10980000000,8359423828,18915000
38593,10840000000,10840000000,10720000000,10800000000,8222383789,18275000
38594,10880000000,10960000000,10660000000,10820000000,8237611328,14915000
38595,10680000000,10920000000,10680000000,10880000000,8283291992,12205000
38596,10980000000,11040000000,10940000000,10980000000,8359423828,11970000
38597,10980000000,11140000000,10960000000,11080000000,8435560547,12190000
38600,11160000000,11260000000,11100000000,11220000000,8542148438,10920000
38601,11260000000,11520000000,11260000000,11380000000,8663958008,19050000
38602,11520000000,11640000000,11520000000,11580000000,8816225586,17565000
38603,11700000000,11860000000,11600000000,11740000000,8938039063,34625000
38604,11700000000,11820000000,11660000000,11780000000,8968489258,13105000
38607,11880000000,12000000000,11780000000,11780000000,8968489258,20070000
38608,11800000000,12200000000,11780000000,12120000000,9227341797,34885000
38609,12100000000,12300000000,12040000000,12260000000,9333932617,25585000
38610,12100000000,12380000000,12080000000,12140000000,9242571289,29035000
38611,12080000000,12120000000,11760000000,11860000000,9029397461,30625000
38614,11860000000,11860000000,11860000000,11860000000,9029397461,0
38615,12000000000,12060000000,11840000000,11860000000,9029397461,28045000
38616,11920000000,12120000000,11900000000,12020000000,9151206055,19085000
38617,11860000000,12000000000,11840000000,12000000000,9135983398,16000000
38618,11840000000,11980000000,11660000000,11700000000,8907587891,18675000
38621,11720000000,12000000000,11720000000,11940000000,9090303711,21895000
38622,11960000000,11980000000,11800000000,11860000000,9029397461,15910000
38623,11800000000,12000000000,11740000000,11960000000,9105529297,13505000
38624,11880000000,11980000000,11800000000,11860000000,9029397461,18509700
38625,11880000000,12000000000,11760000000,11760000000,8953263672,21192950
38628,11760000000,11760000000,11760000000,11760000000,8953263672,0
38629,11800000000,12140000000,11800000000,12060000000,9181660156,26986050
38630,12080000000,12280000000,11960000000,12020000000,9151206055,21874300
38631,11900000000,11900000000,11700000000,11740000000,8938039063,20716650
38632,11560000000,11760000000,11520000000,11660000000,8877131836,25602800
38635,11680000000,11940000000,11660000000,11860000000,9029397461,15080150
38636,11760000000,11980000000,11740000000,11960000000,9105529297,10695550
38637,11860000000,11880000000,11540000000,11560000000,8800998047,26597200
38638,11420000000,11480000000,11160000000,11300000000,8603052734,36035800
38639,11300000000,11440000000,11200000000,11300000000,8603052734,31305500
38642,11200000000,11380000000,11200000000,11260000000,8572596680,17525000
38643,11280000000,11380000000,11260000000,11320000000,8618281250,17588650
38644,11200000000,11220000000,11000000000,11040000000,8405105469,18547750
38645,11200000000,11220000000,11040000000,11120000000,8466013672,17849800
38646,11000000000,11320000000,10980000000,11280000000,8587824219,20033250
38649,11320000000,11420000000,11220000000,11320000000,8618281250,16487150
38650,11440000000,11560000000,11280000000,11300000000,8603052734,18269150
38651,11240000000,11320000000,11180000000,11260000000,8572596680,15002350
38652,11260000000,11360000000,11120000000,11160000000,8496464844,19331000
38653,10980000000,11020000000,10900000000,10920000000,8313745117,21614800
38656,10980000000,11100000000,10960000000,11060000000,8420329102,19203500
38657,11200000000,11360000000,11180000000,11300000000,8603052734,29155950
38658,11280000000,11600000000,11280000000,11500000000,8755317383,15716000
38659,11760000000,11840000000,11700000000,11740000000,8938039063,22394000
38660,11940000000,12000000000,11860000000,11980000000,9120752930,24807150
38663,12040000000,12060000000,11820000000,11960000000,9105529297,12834600
38664,12000000000,12060000000,11940000000,12040000000,9166436523,12065550
38665,12020000000,12140000000,11920000000,12000000000,9135983398,14940450
38666,12020000000,12140000000,11980000000,12100000000,9212113281,17080450
38667,12340000000,12480000000,12280000000,12360000000,9410060547,29524650
38670,12420000000,12580000000,12320000000,12520000000,9531874023,20931600
38671,12520000000,12580000000,12220000000,12400000000,9440514648,14063750
38672,12320000000,12600000000,12320000000,12600000000,9592781250,14038850
38673,12540000000,12560000000,12380000000,12480000000,9501422852,12542600
38674,12500000000,12600000000,12380000000,12520000000,9531874023,14163300
38677,12640000000,12640000000,12240000000,12360000000,9410060547,24063600
38678,12220000000,12240000000,11740000000,11840000000,9014171875,45564250
38679,12000000000,12260000000,11980000000,12140000000,9242571289,42389900
38680,12360000000,12360000000,12100000000,12160000000,9257795898,15155400
38681,12160000000,12220000000,11920000000,12000000000,9135983398,15658550
38684,12000000000,12060000000,11920000000,12020000000,9151206055,9434350
38685,11960000000,12040000000,11760000000,11880000000,9044623047,17159050
38686,11860000000,12080000000,11860000000,12000000000,9135983398,17308450
38687,11920000000,12160000000,11900000000,12100000000,9212113281,19357700
38688,12400000000,12460000000,12280000000,12340000000,9394838867,19342900
38691,12440000000,12500000000,12360000000,12460000000,9486196289,12418300
38692,12380000000,12620000000,12340000000,12600000000,9592781250,21114200
38693,12600000000,12900000000,12480000000,12780000000,9729819336,26531300
38694,12700000000,12800000000,12520000000,12640000000,9623234375,26904650
38695,12560000000,12620000000,12260000000,12420000000,9455745117,23027250
38698,12440000000,12560000000,12340000000,12360000000,9410060547,18588950
